mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__activation,param_model__alpha,param_model__hidden_layer_sizes,param_model__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,strategy
0.023387050628662108,0.0033097706049746126,0.003801727294921875,0.0006604653490562695,tanh,0.001,"(64,)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.8571428571428571,0.5,0.0,0.6666666666666666,0.8,0.5647619047619047,0.30801242723110733,13,0.5714285714285714,0.625,0.5882352941176471,0.5882352941176471,0.625,0.5995798319327731,0.02164375398855383,CloseSMA200
0.02590155601501465,0.00853250109574683,0.007055759429931641,0.0029748897732249733,tanh,0.001,"(64,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.6266666666666666,0.33625387234449305,7,0.6666666666666666,0.7058823529411765,0.7058823529411765,0.9411764705882353,0.8235294117647058,0.7686274509803921,0.10105175471941273,CloseSMA200
0.030399179458618163,0.012939573885871752,0.003360605239868164,0.0003090339500553382,tanh,0.001,"(32, 16)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.4,0.0,1.0,0.0,0.0,0.27999999999999997,0.3919183588453085,25,0.6666666666666666,0.46153846153846156,0.18181818181818182,0.46153846153846156,0.46153846153846156,0.4466200466200466,0.15440739613601454,CloseSMA200
0.028718948364257812,0.011832529149559784,0.007351541519165039,0.007901828344823118,tanh,0.001,"(32, 16)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.001, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.4,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5466666666666666,0.33306655991458123,16,0.7692307692307693,0.6666666666666666,0.9411764705882353,0.46153846153846156,0.8235294117647058,0.7324283559577678,0.16182430598062372,CloseSMA200
0.022107505798339845,0.0030451083219493465,0.0032442092895507814,0.00016384525815964422,tanh,0.01,"(32,)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.001}",0.6666666666666666,0.4,0.0,1.0,0.6666666666666666,0.5466666666666666,0.33306655991458123,16,0.5714285714285714,0.6666666666666666,0.5882352941176471,0.5,0.5333333333333333,0.5719327731092437,0.05639996027891053,CloseSMA200
0.020938920974731445,0.0017604864715587232,0.003176259994506836,0.00019991351083781527,tanh,0.01,"(32,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32,), 'model__learning_rate_init': 0.01}",0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.5666666666666667,0.3265986323710904,10,0.7142857142857143,0.8235294117647058,0.75,0.9411764705882353,0.75,0.7957983193277312,0.08092354075162005,CloseSMA200
0.021675968170166017,0.0024881613742182567,0.0031948089599609375,0.00011497442739592686,tanh,0.01,"(64,)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.001}",0.8571428571428571,0.5,0.0,0.6666666666666666,0.8,0.5647619047619047,0.30801242723110733,13,0.5714285714285714,0.625,0.5882352941176471,0.5882352941176471,0.625,0.5995798319327731,0.02164375398855383,CloseSMA200
0.03183169364929199,0.013689313062728524,0.0035354137420654298,0.0005837262131736817,tanh,0.01,"(64,)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (64,), 'model__learning_rate_init': 0.01}",0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.6266666666666666,0.33625387234449305,7,0.6666666666666666,0.7058823529411765,0.7058823529411765,0.9411764705882353,0.8235294117647058,0.7686274509803921,0.10105175471941273,CloseSMA200
0.021692657470703126,0.0012567734803331872,0.003215980529785156,0.00010588323443412431,tanh,0.01,"(32, 16)",0.001,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.001}",0.4,0.0,1.0,0.0,0.0,0.27999999999999997,0.3919183588453085,25,0.6666666666666666,0.46153846153846156,0.18181818181818182,0.46153846153846156,0.46153846153846156,0.4466200466200466,0.15440739613601454,CloseSMA200
0.024931049346923827,0.007734623640233939,0.003259134292602539,0.0003172543284541957,tanh,0.01,"(32, 16)",0.01,"{'model__activation': 'tanh', 'model__alpha': 0.01, 'model__hidden_layer_sizes': (32, 16), 'model__learning_rate_init': 0.01}",0.4,0.0,1.0,0.6666666666666666,0.6666666666666666,0.5466666666666666,0.33306655991458123,16,0.7692307692307693,0.6666666666666666,0.9411764705882353,0.46153846153846156,0.8235294117647058,0.7324283559577678,0.16182430598062372,CloseSMA200
